title,price,rating,image,product_link,description,search_query,website,product_info_json
Galaxy S25 Ultra AI Dual SIM Titanium Black 12GB RAM 256GB 5G - Middle East Version,5099,,https://f.nooncdn.com/p/pnsku/N70140491V/320/_/1737383878/bd8f3afb-3cb2-49fe-bad9-498feadcebe3.jpg,https://www.noon.com/egypt-en/galaxy-s25-ultra-ai-dual-sim-titanium-black-12gb-ram-256gb-5g-middle-east-version,,samsung s25 ultra,Noon,
Galaxy S25 Ultra AI Dual SIM Titanium Whitesilver 12GB RAM 256GB 5G - Middle East Version,5099,,https://f.nooncdn.com/p/pnsku/N70140494V/320/_/1737383865/e9ef21fe-0306-4697-8eb6-2d5795edf1a2.jpg,https://www.noon.com/egypt-en/galaxy-s25-ultra-ai-dual-sim-titanium-whitesilver-12gb-ram-256gb-5g-middle-east-version,,samsung s25 ultra,Noon,
Galaxy S25 Ultra AI Dual SIM Titanium Black 12GB RAM 512GB 5G - Middle East Version,5599,,https://f.nooncdn.com/p/pnsku/N70140495V/320/_/1737383884/faaadcfe-2641-4013-94cb-ffb35f94eae1.jpg,https://www.noon.com/egypt-en/galaxy-s25-ultra-ai-dual-sim-titanium-black-12gb-ram-512gb-5g-middle-east-version,,samsung s25 ultra,Noon,
Galaxy S25 Ultra Dual SIM  Titanium Silverblue 12GB RAM 512GB 5G - International Version,3711,,https://f.nooncdn.com/p/pnsku/N70142939V/320/_/1737566056/1384570e-dfa1-4d8b-93df-e13478ea64cf.jpg,https://www.noon.com/egypt-en/galaxy-s25-ultra-dual-sim-titanium-silverblue-12gb-ram-512gb-5g-international-version,,samsung s25 ultra,Noon,
Galaxy S25 Ultra Dual SIM Titanium Whitesilver 12GB RAM 1TB 5G - International Version,4299,,https://f.nooncdn.com/p/pnsku/N70142911V/320/_/1737566098/38c667c2-a921-47d7-9094-8a035e643869.jpg,https://www.noon.com/egypt-en/galaxy-s25-ultra-dual-sim-titanium-whitesilver-12gb-ram-1tb-5g-international-version,,samsung s25 ultra,Noon,
Galaxy S25 Ultra AI Dual SIM Titanium Grey 12GB RAM 256GB 5G - Middle East Version,5099,,https://f.nooncdn.com/p/pnsku/N70140492V/320/_/1737383901/eda85518-55eb-4c19-8a12-eb31bcc1bdb3.jpg,https://www.noon.com/egypt-en/galaxy-s25-ultra-ai-dual-sim-titanium-grey-12gb-ram-256gb-5g-middle-east-version,,samsung s25 ultra,Noon,
Galaxy S25 Ultra AI Dual SIM Titanium Grey 12GB RAM 512GB 5G - Middle East Version,5599,,https://f.nooncdn.com/p/pnsku/N70140496V/320/_/1737383868/d90455b2-a47a-4dd1-8d3f-88de4adc8642.jpg,https://www.noon.com/egypt-en/galaxy-s25-ultra-ai-dual-sim-titanium-grey-12gb-ram-512gb-5g-middle-east-version,,samsung s25 ultra,Noon,
Galaxy S25 Ultra Dual SIM  Titanium Silverblue 12GB RAM 256GB 5G - International Version,3239,,https://f.nooncdn.com/p/pnsku/N70142935V/320/_/1737566043/49570288-cb6e-47b4-bdf3-2c66a1780f8d.jpg,https://www.noon.com/egypt-en/galaxy-s25-ultra-dual-sim-titanium-silverblue-12gb-ram-256gb-5g-international-version,,samsung s25 ultra,Noon,
Galaxy S25 Ultra AI Dual SIM Titanium Silverblue 12GB RAM 256GB 5G - Middle East Version,5099,,https://f.nooncdn.com/p/pnsku/N70140493V/320/_/1737383875/e21b61e9-e298-470e-8a84-5db6891b4dfc.jpg,https://www.noon.com/egypt-en/galaxy-s25-ultra-ai-dual-sim-titanium-silverblue-12gb-ram-256gb-5g-middle-east-version,,samsung s25 ultra,Noon,
Galaxy S25 Ultra Dual SIM Titanium Black 12GB RAM 256GB 5G - International Version,4999,,https://f.nooncdn.com/p/pnsku/N70142933V/320/_/1758219891/4d712413-341c-4074-a141-63dbe5643400.jpg,https://www.noon.com/egypt-en/galaxy-s25-ultra-dual-sim-titanium-black-12gb-ram-256gb-5g-international-version,,samsung s25 ultra,Noon,
